科系代碼,學校,科系,招收人數,國文檢定,英文檢定,數學檢定,社會檢定,自然檢定,總級分檢定,英聽檢定,國文倍率,英文倍率,數學倍率,社會倍率,自然倍率,總級分倍率,第二試時間(起),第二試時間(訖),篩選一,篩選二,篩選三,篩選四,篩選五,篩選六,超額篩選
003202,國立中興大學,化學工程學系,18,--,前標,前標,--,前標,前標,--,--,5,3,--,3,10,104.4.17,104.4.17,總=57,英=13,數+自=26,,,,有
003212,國立中興大學,材料科學與工程學系,15,--,均標,均標,--,均標,--,--,--,5,3,--,3,--,104.4.17,104.4.17,英=13,數+自=24,,,,,有
003222,國立中興大學,生物產業機電工程學系,16,--,均標,均標,--,均標,--,--,--,10,2.5,--,10,--,104.4.17,104.4.17,英+自=19,數=13,,,,,有
003232,國立中興大學,水土保持學系,30,--,均標,均標,--,均標,均標,--,--,5,3,--,4,2,104.4.17,104.4.17,英=9,自=11,數=10,總=62,,,有
003242,國立中興大學,食品暨應用生物科技學系,16,均標,均標,均標,--,均標,--,--,5,3,4,--,3,--,104.4.17,104.4.17,國=14,數=11,英+自=26,,,,有
003252,國立中興大學,農藝學系,20,均標,均標,均標,--,均標,--,B級,6,--,--,--,2.5,8,104.4.17,104.4.17,總=60,國=13,自=14,,,,有
003262,國立中興大學,園藝學系,12,均標,均標,均標,均標,前標,--,--,--,5,--,--,3,--,104.4.17,104.4.17,英=13,自=13,,,,,有
003272,國立中興大學,森林學系林學組,7,均標,均標,均標,--,均標,--,B級,--,--,--,--,5,--,104.4.18,104.4.18,自=14,,,,,,有
003282,國立中興大學,森林學系木材科學組,6,均標,均標,均標,--,均標,--,B級,--,--,--,--,5,--,104.4.18,104.4.18,自=13,,,,,,有
003292,國立中興大學,植物病理學系,15,--,均標,--,--,均標,--,--,--,5,--,--,8,3,104.4.17,104.4.17,自=13,英=13,總=65,,,,有
003302,國立中興大學,昆蟲學系,20,均標,前標,均標,--,前標,--,--,4,2.5,3,--,2,--,104.4.18,104.4.18,國=11,數=9,英=12,自=12,,,有
003312,國立中興大學,動物科學系,15,均標,均標,均標,--,均標,--,B級,6,6,6,--,3,--,104.4.17,104.4.17,國+英+數=36,自=13,,,,,有
003322,國立中興大學,土壤環境科學系,21,均標,均標,均標,--,均標,--,--,--,5,5,--,5,2.5,104.4.17,104.4.17,英+數+自=26,總=63,,,,,有
003332,國立中興大學,生物科技學士學位學程,10,均標,均標,均標,均標,均標,--,--,--,10,--,--,7,5,104.4.18,104.4.18,英=13,自=13,總=65,,,,有
003342,國立中興大學,景觀與遊憩學士學位學程,10,均標,前標,均標,均標,前標,--,--,--,5,10,--,--,3,104.4.17,104.4.17,數=7,英=12,總=62,,,,有
003352,國立中興大學,國際農企業學士學位學程,6,均標,前標,均標,--,均標,--,A級,--,10,--,--,5,--,104.4.17,104.4.17,英=13,自=13,,,,,有
003362,國立中興大學,生命科學系,60,均標,均標,均標,--,前標,--,--,--,8,10,--,3,--,104.4.17,104.4.17,數=8,英=11,自=14,,,,有
003372,國立中興大學,獸醫學系,32,均標,均標,均標,均標,均標,--,--,--,10,--,--,--,3,104.4.17,104.4.17,英=13,總=70,,,,,有
004012,國立成功大學,中國文學系,12,頂標,均標,--,前標,--,--,--,2,10,--,10,--,--,104.4.10,104.4.10,英+社=26,國=15,,,,,有
004022,國立成功大學,外國語文學系,13,前標,頂標,--,--,--,--,A級,4,3,--,5,--,6,104.4.11,104.4.11,總=64,社=14,國=14,英=15,,,有
004032,國立成功大學,歷史學系,16,前標,前標,--,前標,均標,--,--,5,4,--,2,--,--,104.4.10,104.4.10,國=13,英=13,社=15,,,,有
004042,國立成功大學,台灣文學系,23,頂標,頂標,--,前標,--,--,--,3,8,--,10,--,--,104.4.11,104.4.11,社=13,英=14,國=13,,,,無
004052,國立成功大學,數學系,30,後標,均標,前標,--,均標,--,--,10,6,3,--,6,--,104.4.11,104.4.11,國=10,英+自=23,數=14,,,,有
004062,國立成功大學,物理學系物理組,12,均標,前標,前標,--,前標,均標,--,--,--,--,--,3,--,104.4.11,104.4.11,自=15,,,,,,有
004072,國立成功大學,物理學系光電科學組,4,均標,前標,前標,--,前標,均標,--,--,--,--,--,3,--,104.4.11,104.4.11,自=15,,,,,,有
004082,國立成功大學,化學系,20,--,前標,前標,--,前標,--,--,--,--,--,--,2,--,104.4.10,104.4.10,自=15,,,,,,有
004092,國立成功大學,地球科學系,25,--,均標,均標,--,前標,--,--,--,--,2,--,5,--,104.4.11,104.4.11,自=14,數=14,,,,,有
004102,國立成功大學,光電科學與工程學系,30,均標,均標,前標,--,前標,--,--,7,10,8,--,8,3,104.4.10,104.4.10,英=13,數+自=26,國=13,總=69,,,有
004112,國立成功大學,機械工程學系,67,均標,前標,前標,均標,前標,--,--,--,3,3,--,3,6,104.4.11,104.4.11,總=65,英+數+自=41,,,,,有
004122,國立成功大學,化學工程學系,69,--,前標,頂標,--,頂標,--,--,--,5,3,--,3,6,104.4.10,104.4.10,總=62,英=12,數+自=28,,,,有
004132,國立成功大學,材料科學及工程學系,36,頂標,頂標,頂標,均標,頂標,--,--,5,5,3,5,3,--,104.4.11,104.4.11,國+英+社=39,數+自=27,,,,,有
004142,國立成功大學,資源工程學系,23,均標,均標,均標,--,均標,均標,B級,10,8,4,--,6,3,104.4.11,104.4.11,國=13,英=12,自=13,數=12,總=66,,有
004152,國立成功大學,土木工程學系,48,均標,均標,均標,--,均標,均標,--,6,6,4,--,4,3,104.4.10,104.4.11,國+英=26,數+自=26,總=67,,,,有
004162,國立成功大學,水利及海洋工程學系,22,--,均標,前標,--,前標,--,B級,--,8,5,--,5,2,104.4.11,104.4.11,英=11,數+自=26,總=66,,,,有
004172,國立成功大學,工程科學系,25,--,前標,前標,--,前標,--,--,--,--,6,--,3,8,104.4.11,104.4.11,總=65,數=13,自=14,,,,有
004182,國立成功大學,系統及船舶機電工程學系,25,--,前標,頂標,--,前標,--,B級,--,--,4,--,5,3,104.4.10,104.4.10,自=13,數=13,總=65,,,,有
004192,國立成功大學,航空太空工程學系,27,--,前標,前標,--,前標,--,--,--,10,5,--,5,2.5,104.4.11,104.4.11,英=12,數+自=26,總=68,,,,有
004202,國立成功大學,環境工程學系,25,--,--,--,--,--,均標,B級,--,--,--,--,--,3,104.4.11,104.4.11,總=67,,,,,,有
004212,國立成功大學,測量及空間資訊學系,35,--,前標,前標,--,前標,--,B級,--,--,--,--,--,2.5,104.4.10,104.4.11,總=67,,,,,,有
004222,國立成功大學,生物醫學工程學系,15,--,前標,前標,--,前標,--,--,--,--,--,--,--,3,104.4.11,104.4.11,總=69,,,,,,有
004232,國立成功大學,能源國際學士學位學程,20,--,頂標,前標,--,前標,--,--,--,10,5,--,5,3,104.4.11,104.4.11,英=14,數+自=23,總=66,,,,無
004242,國立成功大學,工業與資訊管理學系,30,前標,前標,前標,均標,前標,--,--,--,8,10,--,--,3,104.4.10,104.4.10,數=10,英=12,總=67,,,,有
004252,國立成功大學,交通管理科學系,26,均標,前標,前標,--,均標,--,--,5,2.5,3,--,5,--,104.4.12,104.4.12,國+自=27,數=12,英=13,,,,有
004262,國立成功大學,企業管理學系,10,--,均標,均標,--,--,--,B級,--,3,4,--,--,--,104.4.10,104.4.10,數=13,英=14,,,,,有
004272,國立成功大學,統計學系,15,均標,前標,前標,--,--,--,--,--,3,2,--,--,--,104.4.10,104.4.10,英=14,數=13,,,,,有
004282,國立成功大學,會計學系,21,均標,均標,均標,--,--,--,B級,--,2,3,--,--,10,104.4.10,104.4.10,總=65,數=14,英=14,,,,有
004292,國立成功大學,醫學系,35,頂標,頂標,頂標,頂標,頂標,--,--,6,5,2.5,8,4,2.5,104.4.12,104.4.12,社=14,國=14,英=15,自=15,數+總=89,,有
004302,國立成功大學,醫學檢驗生物技術學系,15,均標,均標,均標,--,均標,前標,--,--,3,--,--,2,6,104.4.10,104.4.10,總=67,英=15,自=14,,,,有
004312,國立成功大學,護理學系,15,--,--,--,--,均標,--,A級,--,3,--,--,6,8,104.4.10,104.4.10,總=63,自=13,英=14,,,,有
004322,國立成功大學,職能治療學系,6,--,前標,--,--,頂標,--,--,--,6,--,--,3,--,104.4.10,104.4.10,英=15,自=15,,,,,有
004332,國立成功大學,物理治療學系,9,--,均標,--,--,--,前標,--,--,8,--,--,--,5.5,104.4.11,104.4.11,英=14,總=67,,,,,無
004342,國立成功大學,藥學系,16,均標,均標,均標,--,--,--,--,3,--,--,--,4,3.5,104.4.12,104.4.12,自=15,總=71,國=14,,,,有
004352,國立成功大學,政治學系,23,前標,前標,均標,前標,--,--,--,3,10,--,6,--,--,104.4.11,104.4.11,英=12,社=14,國=14,,,,有
004362,國立成功大學,經濟學系,16,均標,均標,均標,--,--,--,--,3,5,6,--,--,--,104.4.11,104.4.11,數=12,英=13,國=13,,,,有
004372,國立成功大學,法律學系,25,頂標,頂標,均標,頂標,--,--,--,2,2,2,--,--,--,104.4.10,104.4.10,國+英+數=41,,,,,,有
004382,國立成功大學,心理學系,18,均標,均標,均標,均標,均標,--,--,--,3,3,3,3,--,104.4.10,104.4.10,英+數+社+自=56,,,,,,有
004392,國立成功大學,電機工程學系,110,均標,均標,頂標,--,頂標,頂標,--,--,--,10,--,10,3,104.4.11,104.4.11,數+自=25,總=69,,,,,有
004402,國立成功大學,資訊工程學系,55,--,前標,前標,--,前標,--,B級,--,--,--,--,--,3,104.4.10,104.4.10,總=69,,,,,,有
004412,國立成功大學,建築學系,28,均標,均標,均標,--,--,均標,--,--,--,--,--,--,2.5,104.4.12,104.4.12,總=70,,,,,,有
004422,國立成功大學,都市計劃學系,27,均標,均標,均標,均標,均標,--,--,--,--,--,--,--,3,104.4.11,104.4.11,總=67,,,,,,有
004432,國立成功大學,工業設計學系,15,均標,均標,均標,--,均標,--,--,--,--,--,--,--,2,104.4.10,104.4.11,總=69,,,,,,有
004442,國立成功大學,生命科學系,30,均標,均標,均標,--,前標,--,--,--,5,4,--,3,--,104.4.10,104.4.10,英=13,數=11,自=14,,,,有
004452,國立成功大學,生物科技與產業科學系,14,均標,前標,均標,均標,前標,--,--,--,3,3,--,3,--,104.4.11,104.4.11,英+數+自=40,,,,,,有
004462,國立成功大學,大一全校不分系學士學位學程,11,前標,頂標,頂標,均標,均標,--,A級,--,6,4.5,--,6,--,104.4.11,104.4.11,英+自=27,數=13,,,,,有
005012,東吳大學,中國文學系,90,均標,--,--,後標,--,--,--,3,--,--,4,--,--,--,--,社=13,國=13,,,,,有
005022,東吳大學,歷史學系,40,底標,底標,--,底標,--,--,--,3,3,--,3,--,--,104.4.12,104.4.12,國+英+社=36,,,,,,有
005032,東吳大學,哲學系,37,均標,均標,--,--,--,--,--,5,3,--,--,--,--,104.4.11,104.4.11,國=11,英=11,,,,,有
005042,東吳大學,政治學系,48,均標,後標,--,後標,--,--,--,4,3,--,3,--,--,104.4.11,104.4.11,國=12,英+社=24,,,,,有
005052,東吳大學,社會學系,60,後標,後標,--,--,--,--,--,4,3,--,--,--,--,104.4.12,104.4.12,國=10,英=7,,,,,有
005062,東吳大學,社會工作學系,60,後標,--,--,--,--,--,--,--,--,--,--,--,3,104.4.11,104.4.11,總=46,,,,,,無
005072,東吳大學,英文學系,70,均標,前標,--,--,--,--,--,5,3,--,--,--,--,104.4.12,104.4.12,國=12,英=14,,,,,有
005082,東吳大學,日本語文學系,70,均標,均標,--,後標,--,--,--,4,3,--,--,--,--,104.4.12,104.4.12,國=13,英=12,,,,,有
005092,東吳大學,德國文化學系,18,均標,均標,--,--,--,--,--,3,3,--,3,--,--,104.4.11,104.4.11,國+英+社=39,,,,,,有
005102,東吳大學,數學系,40,--,--,均標,--,後標,--,--,--,--,3,--,--,--,104.4.11,104.4.11,數=11,,,,,,無
005112,東吳大學,物理學系,27,後標,後標,--,--,均標,--,--,3,4,--,--,5,--,104.4.12,104.4.12,自=10,英=8,國=11,,,,有
005122,東吳大學,化學系,40,--,均標,均標,--,均標,--,--,--,3,3,--,3,--,104.4.11,104.4.11,英+數+自=28,,,,,,有
